SamplePopID,populationName,samplesize,geographicRegion,dataSet.of.origin,lat,lon,location,languoidName,glottocode,curation_notes,Exclude
612,Miao,10,EAST_ASIA,HGDP-CEPH,28,109,China,Hmong Daw,hmon1333,correct by Harald,ok
613,Oroqen,10,EAST_ASIA,HGDP-CEPH,50.4339,126.5,China,Oroqen,oroq1238,automatically assigned by Robert F,ok
615,She,10,EAST_ASIA,HGDP-CEPH,27,119,China,She,shee1238,automatically assigned by Robert F,ok
616,Tujia,10,EAST_ASIA,HGDP-CEPH,29,109,China,Tujia,tuji1244,automatically assigned by Robert F,ok
617,Tu,10,EAST_ASIA,HGDP-CEPH,36,101,China,Tu,tuuu1240,automatically assigned by Robert F,ok
618,Xibo,9,EAST_ASIA,HGDP-CEPH,43.4979,81.5,China,Xibe,xibe1242,ok,ok
619,Yi,10,EAST_ASIA,HGDP-CEPH,28,103,China,Loloish,lolo1267,correct by Harald,ok
622,Mongola,10,EAST_ASIA,HGDP-CEPH,45,111,China,Mongolian,mong1331,ok,ok
625,Naxi,10,EAST_ASIA,HGDP-CEPH,26,100,China,Naxi,naxi1245,automatically assigned by Robert F,ok
629,Uygur,10,CENTRAL_SOUTH_ASIA,HGDP-CEPH,44,81,China,Uighur,uigh1240,automatically assigned by Robert F,ok
677,Cambodian,11,EAST_ASIA,HGDP-CEPH,12,105,Cambodia,Central Khmer,cent1989,correct by Harald,ok
684,Japanese,29,EAST_ASIA,HGDP-CEPH,38,138,Japan,Japanese,japa1256,automatically assigned by Robert F,ok
690,TundraNentsi,13,EAST_ASIA,NativeAmerican,66.08,76.5,Siberia,Tundra Yurak,tund1255,ok,ok
699,Yakut,25,EAST_ASIA,HGDP-CEPH,62.9829,129.5,Siberia,Yakut,yaku1245,automatically assigned by Robert F,ok
811,Chipewyan,28,AMERICA,NativeAmerican,59.55,-107.3,Canada,Chipewyan,chip1261,automatically assigned by Robert F,ok
812,Cree,17,AMERICA,NativeAmerican,50.33,-102.5,Canada,Cree,cree1272,automatically assigned by Robert F,ok
813,Ojibwa,20,AMERICA,NativeAmerican,46.5,-81,Canada,Ojibwa,ojib1241,automatically assigned by Robert F,ok
821,Kaqchikel,12,AMERICA,NativeAmerican,15,-91,Guatemala,Kaqchikel,kaqc1270,automatically assigned by Robert F,ok
822,Mixtec,19,AMERICA,NativeAmerican,17,-97,Mexico,NA,NA,exclude,exclude
823,Mixe,20,AMERICA,NativeAmerican,17,-96,Mexico,NA,NA,exclude,exclude
824,Zapotec,17,AMERICA,NativeAmerican,16,-97,Mexico,Zapotec,zapo1437,no better info,ok
831,Guaymi,16,AMERICA,NativeAmerican,8.5,-82,Panama,Ng•À_bere,ngab1239,automatically assigned by Robert F,ok
832,Cabecar,20,AMERICA,NativeAmerican,9.5,-84,CostaRica,Cab•À_car,cabe1245,automatically assigned by Robert F,ok
833,Aymara,18,AMERICA,NativeAmerican,-22,-70,Chile,Southern Aymara,sout2996,Correct by Harald,ok
834,Huilliche,19,AMERICA,NativeAmerican,-41,-73,Chile,Huilliche,huil1244,automatically assigned by Robert F,ok
835,Guarani,10,AMERICA,NativeAmerican,-23,-54,Brazil,Mby•À_ Guaran•À_,mbya1239,correct by Harald,ok
836,Ache,17,AMERICA,NativeAmerican,-24,-56,Paraguay,Ach•À_,ache1246,Correct by Harald,ok
837,Kaingang,5,AMERICA,NativeAmerican,-24,-52.5,Brazil,Kaingang,kain1272,automatically assigned by Robert F,ok
838,Quechua,20,AMERICA,NativeAmerican,-14,-74,Peru,Quechua IIC,quec1389,ok,ok
841,Kogi,16,AMERICA,NativeAmerican,11,-74,Colombia,Cogui,cogu1240,automatically assigned by Robert F,ok
842,Zenu,18,AMERICA,NativeAmerican,9,-75,Colombia,American Spanish,amer1254,ok,ok
843,Inga,16,AMERICA,NativeAmerican,1,-77,Colombia,Inga,inga1252,automatically assigned by Robert F,ok
844,Wayuu,17,AMERICA,NativeAmerican,11,-73,Colombia,Wayuu,wayu1243,automatically assigned by Robert F,ok
845,TicunaArara,15,AMERICA,NativeAmerican,-4,-70,Colombia,Ticuna,ticu1245,ok,ok
